     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            8        11416           30         1000  1242367.288  1242367.288  1245117.579  1245530.840  1246476.087  1248955.937  1250185.189  1251840.881  1254655.849  1254655.849  1254655.849
          20      1000000            8        16422           30         1000  1348900.134  1348900.134  1349386.327  1350539.581  1353036.326  1354779.655  1360088.697  1366596.326  1372864.235  1372864.235  1372864.235
          20      1000000            8        23623           30         1000  1445048.727  1445048.727  1445930.069  1449553.399  1452678.633  1456723.645  1465112.683  1472423.739  1486419.501  1486419.501  1486419.501
          20      1000000            8        33981           30         1000  1403953.624  1403953.624  1405163.041  1405962.908  1419558.550  1425547.234  1429253.792  1451132.954  1477948.869  1477948.869  1477948.869
          20      1000000            8        48880           30         1000  1442023.916  1442023.916  1461769.690  1483682.334  1506578.533  1535040.829  1554840.925  1570608.672  1586474.823  1586474.823  1586474.823
          20      1000000            8        70312           30         1000  1442517.465  1442517.465  1454350.413  1487196.023  1492759.334  1556791.535  1593451.938  1600842.622  1663249.517  1663249.517  1663249.517
          20      1000000            1          100           30          100   613865.135   613865.135   614170.767   614246.455   615183.478   617054.329   617435.119   617565.923   617604.917   617604.917   617604.917
          20      1000000            1          144           30          100   544443.253   544443.253   544540.166   545017.084   545349.007   545747.903   546115.816   546400.839   546696.582   546696.582   546696.582
          20      1000000            1          208           30          100   494752.159   494752.159   494848.965   494908.897   495032.448   495151.103   495656.804   495842.521   496278.968   496278.968   496278.968
          20      1000000            1          300           30          100   460856.395   460856.395   460907.908   460983.088   461160.465   461728.446   462112.338   463329.443   464587.757   464587.757   464587.757
          20      1000000            1          432           30          100   436177.623   436177.623   436272.418   436367.608   436564.823   436737.354   436910.151   437035.484   437208.588   437208.588   437208.588
          20      1000000            1          622           30          100   423594.620   423594.620   423652.917   423701.462   423801.327   423970.013   424167.554   424460.593   424468.898   424468.898   424468.898
          20      1000000            1          895           30          100   408352.668   408352.668   408422.354   408457.836   408524.227   408686.034   408933.004   409050.848   409103.267   409103.267   409103.267
          20      1000000            1         1288           30          100   399013.324   399013.324   399143.746   399282.719   399419.807   402686.769   402976.756   403199.376   403274.320   403274.320   403274.320
          20      1000000            1         1853           30          100   390705.264   390705.264   390720.815   390788.344   390869.749   391026.461   391161.277   391464.427   391645.173   391645.173   391645.173
          20      1000000            1         2666           30          100   389223.900   389223.900   389458.514   392861.233   393111.756   393178.339   393317.782   393462.609   393561.783   393561.783   393561.783
